issuing_bank_name,issuing_bank_address,issuing_bank_swift,issuing_bank_tel,issuing_bank_account_number,issuing_bank_account_name,issuing_bank_officer,issuing_bank_officer_contact,confirming_bank_name,confirming_bank_address,confirming_bank_swift,confirming_bank_tel,confirming_bank_account_number,confirming_bank_account_name,confirming_bank_officer,confirming_bank_officer_contact,buyer_signatory_name,buyer_signatory_position,buyer_signatory_date,buyer_signature,seller_signatory_name,seller_signatory_position,seller_signatory_date,seller_signature
Emirates National Bank,"77 Finance Ave, Houston, Japan",EMIRSGXX,+303-8666289,32913818,Hassan Singh,Linda Smith,+65-448308055,Emirates National Bank,"124 Trade Tower, Geneva, UK",EMIRSGXX,+525-4518027,66386236,David Fernandez,James Haddad,+1-256294393,Hassan Singh,Managing Partner,2025-05-18,Signed Electronically,David Fernandez,Export Manager,2025-05-23,Signed Electronically
Standard Chartered,"26 Finance Ave, New York, Egypt",STANUSXX,+831-7969341,58683432,Omar Silva,Michael Khan,+1-112294544,Deutsche Bank,"142 Trade Tower, Cairo, Japan",DEUTAEXX,+558-8195182,25428055,David Martinez,George Fernandez,+971-435710366,Omar Silva,Trade Director,2025-09-20,Signed Electronically,David Martinez,Sales Director,2025-09-25,Signed Electronically
Emirates National Bank,"108 Finance Ave, Hong Kong, Qatar",EMIRGBXX,+470-4212237,55792942,Maria Nakamura,Michael Khan,+65-556655933,HSBC,"27 Trade Tower, Hamburg, Switzerland",HSBCDEXX,+463-2884402,88576167,Emma Diop,James Garcia,+44-611886530,Maria Nakamura,CEO,2025-03-28,Signed Electronically,Emma Diop,Export Manager,2025-03-31,Signed Electronically
Singapore Intercontinental Bank,"155 Finance Ave, Houston, Turkey",SINGDEXX,+505-8042868,65269391,Laura Costa,Maria Costa,+65-825773641,HSBC,"136 Trade Tower, Abu Dhabi, UAE",HSBCDEXX,+677-7546985,10220240,Ali Fernandez,Ali Diop,+971-407178367,Laura Costa,Managing Partner,2024-12-29,Signed Electronically,Ali Fernandez,Sales Director,2025-01-03,Signed Electronically
Citibank,"108 Finance Ave, Tokyo, India",CITIGBXX,+224-6026790,37275144,Sarah Brown,Linda Ibrahim,+65-155537050,Citibank,"185 Trade Tower, New York, Turkey",CITIUSXX,+701-5544936,67652242,John Muller,Emma Lee,+1-311350898,Sarah Brown,Procurement Manager,2025-05-22,Signed Electronically,John Muller,Export Manager,2025-05-24,Signed Electronically
Emirates National Bank,"40 Finance Ave, Singapore, UAE",EMIRSGXX,+419-9372973,10764182,Fatima Costa,Hassan Ivanov,+1-878106907,Deutsche Bank,"123 Trade Tower, Geneva, UK",DEUTAEXX,+366-3951477,32153556,David Costa,Sarah Johnson,+44-323947329,Fatima Costa,CEO,2024-11-15,Signed Electronically,David Costa,Export Manager,2024-11-17,Signed Electronically
EuroCommerce Bank AG,"61 Finance Ave, Mumbai, China",EUROSGXX,+690-1615484,61048368,Emma Smith,Ali Ibrahim,+1-271994939,HSBC,"96 Trade Tower, Tokyo, USA",HSBCDEXX,+487-6969608,54763726,Carlos Petrov,Yuki Costa,+44-342992467,Emma Smith,Trade Director,2025-06-25,Signed Electronically,Carlos Petrov,Sales Director,2025-06-27,Signed Electronically
Deutsche Bank,"96 Finance Ave, New York, Switzerland",DEUTAEXX,+772-2966001,53118172,Yuki Silva,Ali Fernandez,+44-506144900,Union Credit Suisse,"186 Trade Tower, Doha, UAE",UNIOUSXX,+154-7538248,16750000,James Costa,James Ibrahim,+65-560019427,Yuki Silva,Procurement Manager,2025-10-21,Signed Electronically,James Costa,Sales Director,2025-10-22,Signed Electronically
Emirates National Bank,"47 Finance Ave, Hamburg, Singapore",EMIRGBXX,+379-4850728,71478957,Maria Khan,Maria Smith,+44-758426082,Standard Chartered,"159 Trade Tower, Istanbul, India",STANGBXX,+662-9522997,71764383,Sarah Chen,George Smith,+44-681278340,Maria Khan,Managing Partner,2025-04-21,Signed Electronically,Sarah Chen,Managing Director,2025-04-24,Signed Electronically
Emirates National Bank,"159 Finance Ave, Houston, Singapore",EMIRUSXX,+329-8135489,59236081,Linda Chen,David Haddad,+971-924492897,Emirates National Bank,"182 Trade Tower, Hong Kong, China",EMIRDEXX,+734-7635831,15182779,Carlos Haddad,Sophia Costa,+971-755136418,Linda Chen,CEO,2025-05-19,Signed Electronically,Carlos Haddad,Sales Director,2025-05-23,Signed Electronically
